terrain,friction,texture,moisture,slope,difficulty
rock,0.771,0.461,0.252,0.659,0.900176583
water,0.788,0.929,0.986,0.092,0.653015091
mud,0.3,0.859,0.828,0.477,0.561463851
water,0.131,0.911,0.923,0.158,0.882303725
water,0.343,0.904,1,0.05,0.109590196
sand,0.53,0.556,0.21,0.403,0.638731858
mud,0.361,0.765,0.793,0.627,0.105494202
mud,0.762,0.74,0.767,0.521,0.865116004
mud,0.317,0.691,0.776,0.529,0.46390931
water,0.872,0.88,1,0.158,0.419532237
rock,0.466,0.485,0.294,0.677,0.208051043
mud,0.774,0.909,0.775,0.446,0.544874457
water,0.256,0.978,1,0.109,0.473024299
sand,0.429,0.628,0.225,0.413,0.230437786
rock,0.66,0.604,0.238,0.619,0.8492421
sand,0.211,0.67,0.229,0.419,0.931262988
rock,0.206,0.4,0.425,0.753,0.408430252
water,0.876,0.953,1,0.054,0.089615434
grass,0.672,0.336,0.315,0.322,0.169799484
rock,0.133,0.486,0.309,0.745,0.510023632
sand,0.419,0.529,0.108,0.429,0.273836144
water,0.447,0.93,1,0.134,0.443734466
rock,0.695,0.396,0.412,0.688,0.095915773
grass,0.301,0.299,0.367,0.244,0.844270177
grass,0.247,0.269,0.288,0.278,0.761265963
mud,0.165,0.737,0.756,0.471,0.478747625
mud,0.443,0.859,0.791,0.496,0.782802419
sand,0.651,0.598,0.112,0.455,0.115244983
rock,0.147,0.509,0.297,0.634,0.332016294
rock,0.832,0.545,0.291,0.707,0.724751288
mud,0.454,0.8,0.806,0.447,0.1255471
rock,0.292,0.523,0.311,0.663,0.326600395
rock,0.175,0.541,0.252,0.728,0.462791958
grass,0.246,0.328,0.357,0.241,0.870936689
mud,0.848,0.814,0.802,0.537,0.939644342
water,0.611,0.989,0.968,0.032,0.593521959
mud,0.513,0.862,0.845,0.533,0.555615735
water,0.626,0.896,1,0.023,0.241237465
grass,0.449,0.255,0.493,0.269,0.24726665
sand,0.684,0.632,0.241,0.495,0.572227686
rock,0.138,0.511,0.355,0.785,0.263981309
grass,0.553,0.385,0.407,0.279,0.469299168
rock,0.227,0.549,0.308,0.719,0.031302134
sand,0.196,0.638,0.287,0.46,0.617190542
sand,0.374,0.601,0.181,0.434,0.507740795
grass,0.173,0.256,0.427,0.286,0.188823314
